"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","MMR","Myanmar","2019","2019",0.82129,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","SLE","Sierra Leone","2016","2016",0.00644,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","SLE","Sierra Leone","2017","2017",0.01711,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","SLE","Sierra Leone","2018","2018",0.15006,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","SLE","Sierra Leone","2019","2019",0.13646,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","SLE","Sierra Leone","2020","2020",0.22457,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","SLE","Sierra Leone","2021","2021",0.23867,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","PRY","Paraguay","2016","2016",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","PRY","Paraguay","2020","2020",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","PRY","Paraguay","2021","2021",,"a","Category not applicable"
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","HTI","Haiti","2021","2021",0.26652,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","MCO","Monaco","2021","2021",,"n","Magnitude nil or negligible"
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","LBR","Liberia","2021","2021",0.99569,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","GBR","United Kingdom of Great Britain and Northern Ireland","2016","2016",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","GBR","United Kingdom of Great Britain and Northern Ireland","2017","2017",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","GBR","United Kingdom of Great Britain and Northern Ireland","2018","2018",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","GBR","United Kingdom of Great Britain and Northern Ireland","2019","2019",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","LVA","Latvia","2016","2016",0.07118,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","LVA","Latvia","2017","2017",0.0703,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","LVA","Latvia","2018","2018",0.06838,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","LVA","Latvia","2019","2019",0.05597,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","SVK","Slovakia","2016","2016",0.78832,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","SVK","Slovakia","2017","2017",0.8077,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","SVK","Slovakia","2018","2018",0.78738,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","SVK","Slovakia","2019","2019",0.83318,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","DEU","Germany","2016","2016",1.25751,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","DEU","Germany","2017","2017",1.24317,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","DEU","Germany","2018","2018",1.26734,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","DEU","Germany","2019","2019",1.27836,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","CUW","Curaçao","2018","2018",1.61135,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","CUW","Curaçao","2019","2019",1.60448,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","CUW","Curaçao","2020","2020",1.91649,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","AND","Andorra","2016","2016",0.00719,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","AND","Andorra","2017","2017",0.00661,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","AND","Andorra","2018","2018",0.00688,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","AND","Andorra","2019","2019",0.00659,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","OMN","Oman","2016","2016",2.29217,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","OMN","Oman","2019","2019",1.27704,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","OMN","Oman","2020","2020",1.78239,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","JOR","Jordan","2016","2016",1.60597,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","JOR","Jordan","2017","2017",1.49891,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","JOR","Jordan","2018","2018",1.47594,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","JOR","Jordan","2019","2019",1.38979,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","JOR","Jordan","2021","2021",1.49112,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","CZE","Czechia","2016","2016",1.61101,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","CZE","Czechia","2017","2017",1.70193,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","CZE","Czechia","2018","2018",1.9045,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","CZE","Czechia","2019","2019",2.07251,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","BRB","Barbados","2020","2020",,"n","Magnitude nil or negligible"
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CHL","Chile","2016","2016",1.36284,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CHL","Chile","2017","2017",1.37185,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CHL","Chile","2018","2018",1.38049,,
"XGDP_5T8_FSGOV","Government expenditure on tertiary education as a percentage of GDP (%)","CHL","Chile","2019","2019",1.43865,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","BFA","Burkina Faso","2016","2016",0.0239,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","ISL","Iceland","2016","2016",0.05725,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","ISL","Iceland","2017","2017",0.05865,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","ISL","Iceland","2018","2018",0.06117,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","ISL","Iceland","2019","2019",0.06467,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","NOR","Norway","2016","2016",0.03521,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","NOR","Norway","2017","2017",0.03734,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","NOR","Norway","2018","2018",0.03614,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","NOR","Norway","2019","2019",0.03937,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","SVN","Slovenia","2016","2016",0.73642,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","SVN","Slovenia","2017","2017",0.7297,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","SVN","Slovenia","2018","2018",0.76311,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","SVN","Slovenia","2019","2019",0.75556,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","IRL","Ireland","2016","2016",1.39568,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","IRL","Ireland","2017","2017",1.21096,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","IRL","Ireland","2018","2018",1.15874,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","IRL","Ireland","2019","2019",1.13521,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","CIV","Côte d'Ivoire","2016","2016",1.76574,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","CIV","Côte d'Ivoire","2017","2017",1.50333,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","CIV","Côte d'Ivoire","2018","2018",1.53229,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","CIV","Côte d'Ivoire","2019","2019",1.48099,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","CIV","Côte d'Ivoire","2020","2020",1.66811,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","CIV","Côte d'Ivoire","2021","2021",1.46849,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","LKA","Sri Lanka","2016","2016",0.7489,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","LKA","Sri Lanka","2017","2017",0.61436,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","LKA","Sri Lanka","2018","2018",0.42248,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","LKA","Sri Lanka","2019","2019",0.37167,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","LKA","Sri Lanka","2020","2020",0.34736,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","MDV","Maldives","2016","2016",0.79624,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","MDV","Maldives","2017","2017",0.59656,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","MDV","Maldives","2018","2018",0.66343,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","MDV","Maldives","2019","2019",0.66147,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","MDV","Maldives","2021","2021",1.20322,,
"XGDP_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%)","GIN","Guinea","2016","2016",0.1379,,
"XGDP_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%)","GIN","Guinea","2017","2017",0.1143,,
"XGDP_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education as a percentage of GDP (%)","GIN","Guinea","2018","2018",0.11162,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","PRT","Portugal","2017","2017",1.13341,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","PRT","Portugal","2018","2018",1.06695,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","PRT","Portugal","2019","2019",1.04952,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","LAO","Lao People's Democratic Republic","2016","2016",1.08049,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","LAO","Lao People's Democratic Republic","2017","2017",0.97528,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","LAO","Lao People's Democratic Republic","2018","2018",0.9122,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","LAO","Lao People's Democratic Republic","2019","2019",0.828,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","LAO","Lao People's Democratic Republic","2020","2020",0.7448,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","LAO","Lao People's Democratic Republic","2021","2021",0.72011,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","LUX","Luxembourg","2017","2017",0.72193,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","LUX","Luxembourg","2018","2018",0.79392,,
"XGDP_2_FSGOV","Government expenditure on lower secondary education as a percentage of GDP (%)","LUX","Luxembourg","2019","2019",0.76761,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","BRN","Brunei Darussalam","2016","2016",1.97033,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","SMR","San Marino","2017","2017",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","SMR","San Marino","2018","2018",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","SMR","San Marino","2019","2019",,"a","Category not applicable"
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","SMR","San Marino","2020","2020",,"a","Category not applicable"
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","CPV","Cabo Verde","2016","2016",0.81936,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","CPV","Cabo Verde","2017","2017",0.78473,,
"XGDP_3_FSGOV","Government expenditure on upper secondary education as a percentage of GDP (%)","CPV","Cabo Verde","2019","2019",0.37405,,
"XGDP_4_FSGOV","Government expenditure on post-secondary non-tertiary education as a percentage of GDP (%)","MWI","Malawi","2016","2016",0.0226,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","FIN","Finland","2016","2016",1.40533,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","FIN","Finland","2017","2017",1.33867,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","FIN","Finland","2018","2018",1.34934,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","FIN","Finland","2019","2019",1.40847,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","SEN","Senegal","2016","2016",0.02307,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","SEN","Senegal","2018","2018",0.02926,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","SEN","Senegal","2021","2021",0.04306,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","BTN","Bhutan","2016","2016",0.26301,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","BTN","Bhutan","2017","2017",0.28466,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","BTN","Bhutan","2018","2018",0.30675,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","BTN","Bhutan","2019","2019",0.24979,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","BTN","Bhutan","2020","2020",0.25191,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","BTN","Bhutan","2021","2021",0.48303,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","TTO","Trinidad and Tobago","2020","2020",0.05135,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","TTO","Trinidad and Tobago","2021","2021",0.01071,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MYS","Malaysia","2016","2016",1.60553,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MYS","Malaysia","2017","2017",1.57821,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MYS","Malaysia","2018","2018",1.52433,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MYS","Malaysia","2019","2019",1.51623,,
"XGDP_1_FSGOV","Government expenditure on primary education as a percentage of GDP (%)","MYS","Malaysia","2020","2020",1.61715,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MUS","Mauritius","2016","2016",0.06013,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MUS","Mauritius","2017","2017",0.05797,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MUS","Mauritius","2018","2018",0.0579,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MUS","Mauritius","2019","2019",0.05781,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MUS","Mauritius","2020","2020",0.05928,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","MUS","Mauritius","2021","2021",0.06844,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","CRI","Costa Rica","2016","2016",0.40202,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","CRI","Costa Rica","2017","2017",0.42328,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","CRI","Costa Rica","2018","2018",0.30296,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","CRI","Costa Rica","2019","2019",0.27697,,
"XGDP_02_FSGOV","Government expenditure on pre-primary education as a percentage of GDP (%)","CRI","Costa Rica","2020","2020",0.24924,,
"XGDP_2T3_FSGOV","Government expenditure on secondary education as a percentage of GDP (%)","FJI","Fiji","2016","2016",1.54298,,
